sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-002-broad_grid,cupod,1.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-003-broad_grid,cupod,1.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-004-broad_grid,cupod,1.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-005-broad_grid,cupod,1.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-006-broad_grid,cupod,1.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-007-broad_grid,cupod,2.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-008-broad_grid,cupod,2.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-009-broad_grid,cupod,2.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-010-broad_grid,cupod,2.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-011-broad_grid,cupod,2.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-012-just_safe,cupod,2.25,2.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-013-exact_boundary,cupod,2.5,2.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-014-just_unsafe,cupod,2.75,2.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-015-broad_grid,cupod,4.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-016-broad_grid,cupod,4.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-017-broad_grid,cupod,4.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-018-broad_grid,cupod,4.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-019-broad_grid,cupod,4.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-020-just_safe,cupod,4.75,4.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-021-exact_boundary,cupod,5.0,4.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-022-just_unsafe,cupod,5.25,4.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
