grouping,metric,unit,row,column,mean,available_n,eligible_n
model,miscoordination,rate,Average,Prisoner's Dilemma — Deployment race,0.10416666666666667,384,384
model,miscoordination,rate,Average,Chicken — Escalation,0.3958333333333333,384,384
model,miscoordination,rate,Average,Stag Hunt — Incident response,0.15104166666666666,384,384
model,miscoordination,rate,Average,Battle of the Sexes — Protocol selection,0.3385416666666667,384,384
model,miscoordination,rate,Average,Weighted mean,0.24739583333333334,1536,1536
model,structural_success,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.78125,96,96
model,structural_success,rate,Claude Sonnet 4.5,Chicken — Escalation,0.4479166666666667,96,96
model,structural_success,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.6979166666666666,96,96
model,structural_success,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.78125,96,96
model,structural_success,rate,Claude Sonnet 4.5,Weighted mean,0.6770833333333334,384,384
model,structural_success,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.8854166666666666,96,96
model,structural_success,rate,GPT-5 mini,Chicken — Escalation,0.2916666666666667,96,96
model,structural_success,rate,GPT-5 mini,Stag Hunt — Incident response,0.6666666666666666,96,96
model,structural_success,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.5625,96,96
model,structural_success,rate,GPT-5 mini,Weighted mean,0.6015625,384,384
model,structural_success,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.90625,96,96
model,structural_success,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.4895833333333333,96,96
model,structural_success,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.75,96,96
model,structural_success,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.71875,96,96
model,structural_success,rate,Gemini 3 Flash Preview,Weighted mean,0.7161458333333334,384,384
model,structural_success,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.9270833333333334,96,96
model,structural_success,rate,Llama 3.3 70B,Chicken — Escalation,0.3541666666666667,96,96
model,structural_success,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.84375,96,96
model,structural_success,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.5833333333333334,96,96
model,structural_success,rate,Llama 3.3 70B,Weighted mean,0.6770833333333334,384,384
model,structural_success,rate,Average,Prisoner's Dilemma — Deployment race,0.875,384,384
model,structural_success,rate,Average,Chicken — Escalation,0.3958333333333333,384,384
model,structural_success,rate,Average,Stag Hunt — Incident response,0.7395833333333334,384,384
model,structural_success,rate,Average,Battle of the Sexes — Protocol selection,0.6614583333333334,384,384
model,structural_success,rate,Average,Weighted mean,0.66796875,1536,1536
model,expected_payoff_nash,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.5625,96,96
model,expected_payoff_nash,rate,Claude Sonnet 4.5,Chicken — Escalation,0.4479166666666667,96,96
model,expected_payoff_nash,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.8958333333333334,96,96
model,expected_payoff_nash,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.78125,96,96
model,expected_payoff_nash,rate,Claude Sonnet 4.5,Weighted mean,0.671875,384,384
model,expected_payoff_nash,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.5104166666666666,96,96
model,expected_payoff_nash,rate,GPT-5 mini,Chicken — Escalation,0.2916666666666667,96,96
model,expected_payoff_nash,rate,GPT-5 mini,Stag Hunt — Incident response,0.8229166666666666,96,96
model,expected_payoff_nash,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.5625,96,96
model,expected_payoff_nash,rate,GPT-5 mini,Weighted mean,0.546875,384,384
model,expected_payoff_nash,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.5104166666666666,96,96
model,expected_payoff_nash,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.4895833333333333,96,96
model,expected_payoff_nash,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.8125,96,96
model,expected_payoff_nash,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.71875,96,96
model,expected_payoff_nash,rate,Gemini 3 Flash Preview,Weighted mean,0.6328125,384,384
model,expected_payoff_nash,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.5,96,96
model,expected_payoff_nash,rate,Llama 3.3 70B,Chicken — Escalation,0.3541666666666667,96,96
model,expected_payoff_nash,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.8645833333333334,96,96
model,expected_payoff_nash,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.5833333333333334,96,96
model,expected_payoff_nash,rate,Llama 3.3 70B,Weighted mean,0.5755208333333334,384,384
model,expected_payoff_nash,rate,Average,Prisoner's Dilemma — Deployment race,0.5208333333333334,384,384
model,expected_payoff_nash,rate,Average,Chicken — Escalation,0.3958333333333333,384,384
model,expected_payoff_nash,rate,Average,Stag Hunt — Incident response,0.8489583333333334,384,384
model,expected_payoff_nash,rate,Average,Battle of the Sexes — Protocol selection,0.6614583333333334,384,384
model,expected_payoff_nash,rate,Average,Weighted mean,0.6067708333333334,1536,1536
model,row_expected_regret,utility,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.8073437499999999,96,96
model,row_expected_regret,utility,Claude Sonnet 4.5,Chicken — Escalation,1.0890624999999996,96,96
model,row_expected_regret,utility,Claude Sonnet 4.5,Stag Hunt — Incident response,0.5732291666666667,96,96
model,row_expected_regret,utility,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,4.8046875,96,96
model,row_expected_regret,utility,Claude Sonnet 4.5,Weighted mean,1.8185807291666665,384,384
model,row_expected_regret,utility,GPT-5 mini,Prisoner's Dilemma — Deployment race,1.0859895833333333,96,96
model,row_expected_regret,utility,GPT-5 mini,Chicken — Escalation,1.4421874999999995,96,96
model,row_expected_regret,utility,GPT-5 mini,Stag Hunt — Incident response,1.3458854166666665,96,96
model,row_expected_regret,utility,GPT-5 mini,Battle of the Sexes — Protocol selection,9.407083333333334,96,96
model,row_expected_regret,utility,GPT-5 mini,Weighted mean,3.3202864583333334,384,384
model,row_expected_regret,utility,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,1.1050520833333333,96,96
model,row_expected_regret,utility,Gemini 3 Flash Preview,Chicken — Escalation,1.0537499999999997,96,96
model,row_expected_regret,utility,Gemini 3 Flash Preview,Stag Hunt — Incident response,1.1674479166666665,96,96
model,row_expected_regret,utility,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,6.015520833333333,96,96
model,row_expected_regret,utility,Gemini 3 Flash Preview,Weighted mean,2.3354427083333333,384,384
model,row_expected_regret,utility,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,1.1407812499999999,96,96
model,row_expected_regret,utility,Llama 3.3 70B,Chicken — Escalation,1.2656249999999998,96,96
model,row_expected_regret,utility,Llama 3.3 70B,Stag Hunt — Incident response,0.7937500000000001,96,96
model,row_expected_regret,utility,Llama 3.3 70B,Battle of the Sexes — Protocol selection,8.33875,96,96
model,row_expected_regret,utility,Llama 3.3 70B,Weighted mean,2.8847265624999996,384,384
model,row_expected_regret,utility,Average,Prisoner's Dilemma — Deployment race,1.0347916666666666,384,384
model,row_expected_regret,utility,Average,Chicken — Escalation,1.2126562499999995,384,384
model,row_expected_regret,utility,Average,Stag Hunt — Incident response,0.970078125,384,384
model,row_expected_regret,utility,Average,Battle of the Sexes — Protocol selection,7.141510416666667,384,384
model,row_expected_regret,utility,Average,Weighted mean,2.5897591145833334,1536,1536
model,column_expected_regret,utility,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.85734375,96,96
model,column_expected_regret,utility,Claude Sonnet 4.5,Chicken — Escalation,1.6865624999999997,96,96
model,column_expected_regret,utility,Claude Sonnet 4.5,Stag Hunt — Incident response,0.8772916666666667,96,96
model,column_expected_regret,utility,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,4.8046875,96,96
model,column_expected_regret,utility,Claude Sonnet 4.5,Weighted mean,2.0564713541666664,384,384
model,column_expected_regret,utility,GPT-5 mini,Prisoner's Dilemma — Deployment race,1.0193229166666666,96,96
model,column_expected_regret,utility,GPT-5 mini,Chicken — Escalation,2.4131249999999995,96,96
model,column_expected_regret,utility,GPT-5 mini,Stag Hunt — Incident response,1.1199999999999999,96,96
model,column_expected_regret,utility,GPT-5 mini,Battle of the Sexes — Protocol selection,9.328333333333333,96,96
model,column_expected_regret,utility,GPT-5 mini,Weighted mean,3.4701953124999996,384,384
model,column_expected_regret,utility,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,1.0717187499999998,96,96
model,column_expected_regret,utility,Gemini 3 Flash Preview,Chicken — Escalation,1.4271874999999996,96,96
model,column_expected_regret,utility,Gemini 3 Flash Preview,Stag Hunt — Incident response,1.4434895833333332,96,96
model,column_expected_regret,utility,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,6.173020833333333,96,96
model,column_expected_regret,utility,Gemini 3 Flash Preview,Weighted mean,2.5288541666666666,384,384
model,column_expected_regret,utility,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,1.1241145833333333,96,96
model,column_expected_regret,utility,Llama 3.3 70B,Chicken — Escalation,2.1618749999999998,96,96
model,column_expected_regret,utility,Llama 3.3 70B,Stag Hunt — Incident response,1.0919270833333332,96,96
model,column_expected_regret,utility,Llama 3.3 70B,Battle of the Sexes — Protocol selection,9.205,96,96
model,column_expected_regret,utility,Llama 3.3 70B,Weighted mean,3.395729166666667,384,384
model,column_expected_regret,utility,Average,Prisoner's Dilemma — Deployment race,1.018125,384,384
